oq1,oq2,oq3,oq4,oq5,oq6,oq7,oq8,oq9,oq10,oq11,oq12,oq13,oq14,oq15,oq16,oq17,oq18,oq19,oq20,oq21,oq22,oq23,oq24,oq25,oq26,oq27,oq28,oq29,oq30,oq31,oq32,oq33,oq34,oq35,oq36,oq37,oq38,oq39,oq40,oq41,oq42,oq43,oq44,oq45
1,1,1,2,2,2,1,0,1,1,0,1,1,2,1,2,1,1,1,1,1,2,1,1,1,0,2,1,2,1,1,0,2,2,0,1,1,1,1,1,0,0,2,0,2
1,2,2,3,3,3,2,0,3,3,1,3,2,1,2,1,3,4,2,2,2,3,3,0,3,2,1,2,0,1,2,0,2,1,0,3,3,2,1,2,2,3,2,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,3,2,2,2,1,3,0,1,1,0,1,0,1,0,2,4,1,1,0,0,2,0,0,1.22,2,1,3,0,0,0,1,0,2,3,1,1,2,1,2,1,1,3,0,1
0,1,2,2,1,1,0,0,0,0,0,4,1,3,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.91,0,2,0,0,0,2,0,1.77,0,0,0,4,4,0,0
1,1,1,2,2,2,1,0,1,1,0,2,1,1,0,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
0,2,0,2,2,2,0,0,1,3,0,2,1,1,1,1,4,3,0,0,2,2,1,2,2,0,2,0,2,0,1,0,0,2,0,2,4,0,0,0,3,3,0,0,3
1,2,0,2,2,2,0,0,1,1,0,1,0,2,0,2,0,0,0,0,.96,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3
1,0,0,0,1,1,1,0,1,2,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
0,2,0,2,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0,1,1,3,2,1,0,0,1,2,0,2,1,2,1,3,0,2,1,1,1,2,1,0,1,0,1,3,1,0,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1
1,1,0,2,2,2,3,0,1,2,0,2,0,0,0,1,2,1,1,0,0,2,2,1,1,1,2,1,1,1,1,0,1,3,1,2,2,2,1,1,1,1,1,1,2
2,4,4,4,4,4,1.23,1,4,1,1,2,3,0,4,3,3,4,4,3,3,3,4,2,1,4,4,3,1,1,3,4,2,2,0,3,1.46,3,1,4,4,4,3,0,0
2,0,1,3,3,3,1,0,0,0,1,2,1,1,0,4,0,1,2,1,1,2,1,0,1,3,1,3,3,1,0,0,3,2,0,1,2,2,3,0,1,1,1,2,1
1,1,1,1,1,1,0,0,0,1,0,1,0,2,0,0,0,2,1,1,0,3,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,2,1,3,2,2,1,1,1,0,0,2,0,1,1,3,1.02,2,1,1,1,3,1,0,2,1,1,3,1,1,1,0,1,1,0,1,2,2,1,2,1,2,2,0,1
0,2,0,4,2,2,3,0,1,1,0,1,1,4,1,3,4,3,0,2,1,3,0,1,0,0,3,0,1,0,0,0,1,1,1,1,3,0,0,1,1,2,4,0,1
1,3,2,1,3,1,1,0,1,0,0,2,1,2,0,1,0,1,1,0,0,2,0,1,0,0,1,4,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,2
1,0,0,3,3,3,3,0,2,2,0,1,0,3,0,1,1,1,2,1,1,3,0,.91,2,.82,0,0,3,0,1,1,1,2,0,2,1,3,2,1,3,0,1,2,2
0,4,2,3,3,3,2,0,4,2,0,2,2,2,2,2,0,3,3,1,1,2,1,1,1,0,3,2,1,2,1,0,3,3,4,2,2,1,1,2,2,2,0,0,3
1,2,1,3,3,2,0,0,1,1,0,2,1,1,0,3,0,1,2,0,0,2,1,0,1,4,1,2,0,1,1,1,2,2,0,1,0,1,0,0,2,2,0,0,2
0,3,0,4,3,2,1,0,0,0,0,2,1,1,0,4,0,0,2,0,0,1,0,0,3,0,0,4,2,0,1,0,1,0,0,1,2,2,1,0,0,0,1,0,3
1,1,0,2,1,1,1,0,1,1,0,1,0,3,0,4,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,1
0,4,0,2,1,2,0,2,0,1,0,2,0,1,0,1,1,2,3,1,0,3,0,0,2,1,4,2,0,0,0,0,2,3,1,2,1,2,2,2,3,0,1,0,1
0,2,0,2,2,2,0,1,1,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,1
1,1,1,2,3,2,1,0,1,2,0,1,1,1,1,3,0,2,1,1,1,2,1,1,1,0,2,3,1,1,0,0,1,2,0,1,0,2,0,1,1,1,0,0,2
0,1,1,2,3,1.82,1,0,1,1,0,2,1,1,1,3,0,2,2,1,0,3,1,1,2,2,2,2,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1
1,1,1,4,0,1.82,0,0,2,2,1,1.64,.93,1.7,2,3,0,1,1,2,2,2,2,1,4,0,1,4,1,1,2,0,0,0,0,1,3,4,1,1,2,4,0,1,1
0,2,0,4,2,3,0,0,0,0,0,2,1,0,2,0,0,3,0,4,0,4,2,1,0,0,0,4,0,0,3,1,3,0,0,1,4,4,4,4,3,2,1,1,0
0,2,0,2,2,1,0,0,0,3,0,2,0,1,0,1,0,0,1,0,2,2,0,0,2,0,1,3,1,0,0,0,0,2,1,1,0,2,1,2,1,1,0,0,2
0,0,0,2,2,2,0,1,1,1.19,0,1,0,1,0,2,0,0,0,0,0,2,2,1,2,0,0,2,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1
0,1,1,3,2,2,2,0,1,2,1,2,1,1,0,2,2,2,1,1,1,4,0,1,1,3,2,3,1,0,2,2,2,1,0,0,0,2,0,0,0,1,1,0,1
0,1,1,3,3,1,2,0,0,2,0,2,1,1,1,2,1,1,0,0,1,2,1,1,0,0,1,2,1,1,1,0,0,2,0,1,1,3,0,1,2,1,1,0,2
