group,bsglo,bsghi
debias,29.083,33.25
debias,28.25,37.109
debias,30.333,71.583
jam,88.667,72.417
jam,74.5,58.667
debias,72.833,57.833
jam,46.167,88.667
debias,51.583,47.833
debias,44.917,47.833
jam,46.583,86.167
debias,67.109,57.682
debias,77.417,66.583
debias,63.667,56.167
debias,35.75,58.667
jam,38.25,70.333
debias,42.833,78.25
debias,48.667,51.583
jam,43.25,78.667
debias,43.25,53.667
jam,52.833,87.417
debias,42.833,73.667
jam,88.667,93.667
debias,63.25,59.917
jam,87.417,93.25
debias,56.583,57.833
jam,71.167,66.583
jam,64.083,61.583
debias,48.25,57.543
jam,62.417,60.75
debias,44.5,72.417
debias,45.75,74.917
jam,85.75,90.333
jam,85.333,90.75
debias,53.667,58.25
debias,46.583,75.333
debias,83.591,84.065
jam,65.333,93.667
debias,47.417,74.917
jam,49.083,77.417
debias,56.167,60.333
jam,82,93.25
debias,49.283,60.587
jam,82.833,91.457
debias,52,60.152
jam,82.833,89.5
debias,59.917,62
jam,58.667,87.417
debias,47,63.667
jam,52.417,61.167
jam,80.333,92.833
debias,47.417,69.917
jam,79.083,80.333
debias,72.417,93.667
debias,81.167,88.25
debias,55.333,82.833
jam,80.333,90.333
debias,64.935,90.333
jam,50.587,76.167
jam,61.167,87.833
jam,68.667,92
debias,79.5,90.75
jam,78.25,80.333
jam,79.083,91.167
jam,80.152,87.543
jam,78.848,91.167
debias,79.917,86.583
jam,78.667,90.75
jam,75.804,92.417
jam,62,87.833
debias,72.833,92.417
debias,59.5,64.5
debias,49.5,69.917
jam,69.083,91.167
jam,71.583,91.583
jam,54.917,80.333
jam,78.667,87
debias,54.083,79.083
debias,67.417,69.5
debias,50.333,70.75
jam,77.417,89.083
jam,77.833,83.667
jam,69.083,90.333
jam,72.833,74.917
jam,75.75,90.333
jam,76.583,89.717
debias,77.417,88.413
jam,56.674,81.583
debias,65.75,88.667
debias,51.583,72.833
debias,76.583,87.833
debias,72.833,89.917
debias,69.5,89.5
jam,70.333,89.5
debias,68.667,71.891
jam,52.417,69.283
jam,65.333,87.417
debias,75.333,80.75
jam,76.167,83.25
jam,74.083,88.848
jam,76.167,84.917
jam,66.583,87.833
debias,54.5,76.583
debias,58.667,82
debias,58.25,67
jam,74.5,87.833
jam,54.917,77
debias,73.667,88.25
debias,61.583,68.25
debias,74.5,80.587
debias,54.083,74.917
jam,74.5,86.583
debias,54.083,73.667
jam,64.917,85.75
jam,54.917,74.917
jam,74.083,82.833
jam,73.25,86.167
jam,55.333,75.333
debias,73.667,84.917
debias,72,78.25
debias,55.333,74.5
jam,69.083,86.583
jam,62,69.917
debias,68.667,74.5
debias,62.833,70.333
jam,64.917,71.583
debias,68.667,86.167
jam,61.457,82.326
jam,70.333,86.167
debias,64.5,71.583
jam,72.833,83.25
debias,72.417,84.083
jam,69.5,85.75
jam,71.167,85.333
jam,61.583,81.583
jam,72,82.417
jam,60.333,80.333
jam,66.167,84.083
debias,69.083,77
jam,68.667,76.583
debias,70.75,82
jam,70.333,81.583
debias,61.583,72.417
debias,62.833,81.167
jam,58.667,74.083
jam,65.75,74.917
jam,67.417,82.833
jam,61.583,73.25
debias,61.583,73.25
jam,68.25,82.417
debias,59.917,75.333
jam,61.167,74.083
jam,61.891,78.667
jam,67.833,80.333
debias,64.083,75.333
jam,66.583,80.75
debias,65.75,77.417
jam,65.75,78.25
debias,64.5,79.083
