group,subject,fsglobsglo,fsghibsglo,fsglobsghi,fsghibsghi,bsglo,bsghi
jam,19,58.25,79.083,61.773,80.333,79.083,80.333
debias,107,59.5,72.417,68.667,93.667,72.417,93.667
debias,138,59.5,81.167,73.667,88.25,81.167,88.25
debias,154,37,55.333,46.167,82.833,55.333,82.833
jam,74,70.333,80.333,79.083,90.333,80.333,90.333
debias,103,67,64.935,70.75,90.333,64.935,90.333
jam,48,46.674,50.587,45.864,76.167,50.587,76.167
jam,44,49.917,61.167,49.083,87.833,61.167,87.833
jam,79,60.333,68.667,68.25,92,68.667,92
debias,132,64.065,79.5,60.333,90.75,79.5,90.75
jam,45,52.833,78.25,57,80.333,78.25,80.333
jam,3,69.5,79.083,75.75,91.167,79.083,91.167
jam,37,76.583,80.152,77.682,87.543,80.152,87.543
jam,24,57.833,78.848,63.25,91.167,78.848,91.167
debias,123,61.891,79.917,59.717,86.583,79.917,86.583
jam,76,72,78.667,72.417,90.75,78.667,90.75
jam,73,71.583,75.804,75.333,92.417,75.804,92.417
jam,62,56.167,62,67,87.833,62,87.833
debias,120,57,72.833,59.083,92.417,72.833,92.417
debias,139,44.5,59.5,57.833,64.5,59.5,64.5
debias,94,44.917,49.5,48.667,69.917,49.5,69.917
jam,33,71.167,69.083,73.25,91.167,69.083,91.167
jam,32,67,71.583,67.833,91.583,71.583,91.583
jam,11,54.917,54.917,48.667,80.333,54.917,80.333
jam,77,57,78.667,65.75,87,78.667,87
debias,105,44.083,54.083,47.543,79.083,54.083,79.083
debias,121,34.5,67.417,43.667,69.5,67.417,69.5
debias,142,45.75,50.333,45.75,70.75,50.333,70.75
jam,40,65.333,77.417,69.283,89.083,77.417,89.083
jam,13,50.333,77.833,61.167,83.667,77.833,83.667
jam,49,59.5,69.083,57.417,90.333,69.083,90.333
jam,65,56.583,72.833,62.417,74.917,72.833,74.917
jam,4,69.5,75.75,70.333,90.333,75.75,90.333
jam,61,52.833,76.583,53.667,89.717,76.583,89.717
debias,158,61.891,77.417,53.196,88.413,77.417,88.413
jam,57,51.167,56.674,53.667,81.583,56.674,81.583
debias,124,56.167,65.75,59.083,88.667,65.75,88.667
debias,146,40.333,51.583,44.5,72.833,51.583,72.833
debias,126,63.667,76.583,77,87.833,76.583,87.833
debias,113,55.333,72.833,68.25,89.917,72.833,89.917
debias,117,49.083,69.5,64.083,89.5,69.5,89.5
jam,9,71.167,70.333,67,89.5,70.333,89.5
debias,118,41.167,68.667,46.583,71.891,68.667,71.891
jam,70,43.25,52.417,53.63,69.283,52.417,69.283
jam,52,58.667,65.333,69.5,87.417,65.333,87.417
debias,91,59.083,75.333,62,80.75,75.333,80.75
jam,1,58.667,76.167,69.5,83.25,76.167,83.25
jam,46,65.333,74.083,72,88.848,74.083,88.848
jam,81,46.167,76.167,67,84.917,76.167,84.917
jam,30,49.5,66.583,53.667,87.833,66.583,87.833
debias,92,37.417,54.5,48.667,76.583,54.5,76.583
debias,96,52.417,58.667,57.833,82,58.667,82
debias,99,41.022,58.25,43.25,67,58.25,67
jam,83,56.167,74.5,74.5,87.833,74.5,87.833
jam,17,42.417,54.917,46.167,77,54.917,77
debias,87,59.717,73.667,61.583,88.25,73.667,88.25
debias,86,41.583,61.583,49.917,68.25,61.583,68.25
debias,110,68.667,74.5,68.667,80.587,74.5,80.587
debias,129,31.167,54.083,37.833,74.917,54.083,74.917
jam,71,55.75,74.5,67.833,86.583,74.5,86.583
debias,90,48.848,54.083,57.833,73.667,54.083,73.667
jam,25,51.583,64.917,57,85.75,64.917,85.75
jam,67,45.409,54.917,49.083,74.917,54.917,74.917
jam,78,48.25,74.083,54.5,82.833,74.083,82.833
jam,7,59.083,73.25,60.333,86.167,73.25,86.167
jam,56,52,55.333,49.917,75.333,55.333,75.333
debias,85,43.667,73.667,52,84.917,73.667,84.917
debias,128,41.457,72,62,78.25,72,78.25
debias,149,44.917,55.333,49.5,74.5,55.333,74.5
jam,47,55.333,69.083,60.333,86.583,69.083,86.583
jam,58,37.833,62,42.833,69.917,62,69.917
debias,135,37.417,68.667,48.25,74.5,68.667,74.5
debias,143,49.917,62.833,51.167,70.333,62.833,70.333
jam,39,50.333,64.917,59.5,71.583,64.917,71.583
debias,88,55.75,68.667,64.917,86.167,68.667,86.167
jam,55,44.5,61.457,52.417,82.326,61.457,82.326
jam,64,58.25,70.333,69.083,86.167,70.333,86.167
debias,93,34.5,64.5,34.083,71.583,64.5,71.583
jam,12,37.833,72.833,42.417,83.25,72.833,83.25
debias,119,53.25,72.417,55.804,84.083,72.417,84.083
jam,75,47.833,69.5,59.5,85.75,69.5,85.75
jam,27,54.083,71.167,61.167,85.333,71.167,85.333
jam,14,50.333,61.583,57.417,81.583,61.583,81.583
jam,21,67.833,72,72,82.417,72,82.417
jam,51,44.083,60.333,52.417,80.333,60.333,80.333
jam,8,40.75,66.167,54.5,84.083,66.167,84.083
debias,134,48.667,69.083,67.833,77,69.083,77
jam,82,55.333,68.667,62.417,76.583,68.667,76.583
debias,127,44.083,70.75,48.667,82,70.75,82
jam,42,54.5,70.333,59.5,81.583,70.333,81.583
debias,156,45.75,61.583,55.333,72.417,61.583,72.417
debias,109,52.326,62.833,58.25,81.167,62.833,81.167
jam,41,49.917,58.667,64.917,74.083,58.667,74.083
jam,15,47.833,65.75,46.167,74.917,65.75,74.917
jam,59,37.417,67.417,55.333,82.833,67.417,82.833
jam,23,60.333,61.583,60.75,73.25,61.583,73.25
debias,131,46.583,61.583,44.083,73.25,61.583,73.25
jam,80,52.833,68.25,62,82.417,68.25,82.417
debias,101,42.417,59.917,60.333,75.333,59.917,75.333
jam,72,59.5,61.167,58.25,74.083,61.167,74.083
jam,16,37.417,61.891,46.583,78.667,61.891,78.667
jam,60,45.75,67.833,56.583,80.333,67.833,80.333
debias,151,51.167,64.083,62.227,75.333,64.083,75.333
jam,38,52.833,66.583,64.083,80.75,66.583,80.75
debias,130,57,65.75,66.583,77.417,65.75,77.417
jam,22,46.583,65.75,56.583,78.25,65.75,78.25
debias,100,42.417,64.5,45.333,79.083,64.5,79.083
