group,subject,fsglobsglo,fsghibsglo,fsglobsghi,fsghibsghi,bsglo,bsghi
debias,155,20.75,29.083,29.5,33.25,29.083,33.25
debias,114,20.75,28.25,25.333,37.109,28.25,37.109
debias,97,35.333,30.333,30.333,71.583,30.333,71.583
jam,35,63.667,88.667,58.25,72.417,88.667,72.417
jam,20,41.167,74.5,47.417,58.667,74.5,58.667
debias,136,52,72.833,55.333,57.833,72.833,57.833
jam,50,29.083,46.167,41.583,88.667,46.167,88.667
debias,133,33.667,51.583,45.804,47.833,51.583,47.833
debias,147,40.75,44.917,47.109,47.833,44.917,47.833
jam,54,43.25,46.583,44.5,86.167,46.583,86.167
debias,144,62,67.109,58.667,57.682,67.109,57.682
debias,106,54.5,77.417,63.667,66.583,77.417,66.583
debias,122,29.5,63.667,34.5,56.167,63.667,56.167
debias,95,28.25,35.75,32.417,58.667,35.75,58.667
jam,26,24.5,38.25,26.583,70.333,38.25,70.333
debias,152,29.917,42.833,35.333,78.25,42.833,78.25
debias,102,39.917,48.667,45.333,51.583,48.667,51.583
jam,6,31.583,43.25,44.083,78.667,43.25,78.667
debias,115,27.417,43.25,25.75,53.667,43.25,53.667
jam,68,33.667,52.833,49.917,87.417,52.833,87.417
debias,104,35.75,42.833,46.167,73.667,42.833,73.667
jam,63,84.083,88.667,89.083,93.667,88.667,93.667
debias,137,44.917,63.25,45.75,59.917,63.25,59.917
jam,10,69.5,87.417,78.25,93.25,87.417,93.25
debias,98,38.667,56.583,41.891,57.833,56.583,57.833
jam,18,57.543,71.167,35.333,66.583,71.167,66.583
jam,2,60.75,64.083,61.167,61.583,64.083,61.583
debias,148,31.167,48.25,40.587,57.543,48.25,57.543
jam,53,57.417,62.417,59.5,60.75,62.417,60.75
debias,89,31.583,44.5,36.167,72.417,44.5,72.417
debias,150,44.917,45.75,48.667,74.917,45.75,74.917
jam,28,67,85.75,72,90.333,85.75,90.333
jam,69,78.25,85.333,75.75,90.75,85.333,90.75
debias,112,52.761,53.667,55.75,58.25,53.667,58.25
debias,108,44.083,46.583,41.583,75.333,46.583,75.333
debias,125,67,83.591,73.667,84.065,83.591,84.065
jam,84,54.083,65.333,56.583,93.667,65.333,93.667
debias,145,37.833,47.417,49.5,74.917,47.417,74.917
jam,43,35.75,49.083,39.917,77.417,49.083,77.417
debias,111,49.5,56.167,54.917,60.333,56.167,60.333
jam,66,74.917,82,77.417,93.25,82,93.25
debias,157,37,49.283,47.543,60.587,49.283,60.587
jam,36,71.583,82.833,83.25,91.457,82.833,91.457
debias,153,44.083,52,53.25,60.152,52,60.152
jam,29,74.917,82.833,81.167,89.5,82.833,89.5
debias,140,43.25,59.917,50.75,62,59.917,62
jam,5,34.065,58.667,44.5,87.417,58.667,87.417
debias,116,30.75,47,31.167,63.667,47,63.667
jam,31,27.417,52.417,38.25,61.167,52.417,61.167
jam,34,65.333,80.333,68.667,92.833,80.333,92.833
debias,141,47.833,47.417,51.167,69.917,47.417,69.917
