feminine,sympathy
2,6
5,5
6,5
6,5
4,7
7,6
4,7
6,6
6,4
5,5
5,7
5,7
7,7
6,6
4,7
4,6
6,6
5,6
6,4
9,7
7,7
5,7
6,6
6,6
2,5
3,3
5,5
6,7
7,7
6,6
5,4
7,7
5,6
7,4
7,7
6,7
6,5
7,7
7,3
6,6
5,7
7,6
6,6
5,5
5,6
7,7
5,5
4,7
7,7
1,6
6,6
5,4
6,6
7,6
5,6
5,4
6,6
4,7
6,6
5,6
7,5
4,5
5,7
6,7
6,5
7,7
7,7
3,5
4,6
6,5
3,6
7,7
7,6
6,5
3,5
5,6
7,4
5,7
4,3
7,5
6,7
5,7
7,7
3,6
5,5
5,7
7,5
7,7
7,6
7,7
5,6
7,7
5,4
6,6
3,7
6,7
6,7
5,4
6,5
4,6
6,3
6,7
5,4
6,6
5,7
5,7
7,7
7,5
5,7
7,6
6,7
7,7
6,6
5,7
6,5
7,5
5,7
6,4
5,5
4,5
6,7
7,7
6,5
7,7
6,6
6,6
6,5
7,6
7,7
6,2
6,7
5,7
3,6
5,6
5,6
7,5
6,5
5,7
7,7
1,6
5,7
6,6
4,6
4,6
7,5
4,7
7,7
1,7
6,6
6,6
4,7
6,7
9,3
6,7
4,4
6,7
6,7
7,7
6,6
5,7
7,6
6,7
4,7
4,7
6,7
5,7
5,7
5,6
7,4
6,7
7,3
6,7
4,6
7,7
4,5
5,6
7,7
7,7
5,5
5,7
5,7
5,7
7,6
7,7
6,7
5,7
6,6
4,5
7,7
6,6
4,2
5,6
2,7
4,7
6,6
5,6
7,7
6,6
7,6
6,6
2,6
6,5
7,6
6,6
6,5
6,6
6,5
6,6
6,7
5,5
5,6
5,6
7,7
3,4
3,5
6,7
5,7
3,5
5,6
4,6
3,7
3,5
6,6
3,7
7,7
3,5
6,7
7,7
5,6
6,7
6,6
5,7
7,6
6,7
5,6
5,5
6,7
7,6
5,6
5,4
6,7
6,6
7,7
7,5
6,6
5,7
4,5
5,6
7,5
6,5
4,4
7,6
4,4
7,7
6,6
6,6
5,5
4,7
7,7
6,6
7,7
7,7
4,7
4,7
6,7
5,5
3,6
7,7
7,7
7,6
2,5
6,6
5,5
6,7
7,7
5,6
4,5
5,4
7,7
6,5
7,7
7,5
6,5
6,6
6,6
6,6
5,6
5,4
6,6
7,7
6,6
5,7
6,7
5,7
7,5
6,6
5,7
6,7
6,5
4,6
6,5
5,7
5,7
6,7
7,7
6,5
3,3
7,7
5,6
5,6
3,4
3,4
6,6
7,7
6,7
6,7
5,7
5,6
7,6
4,6
6,6
6,5
4,7
6,5
7,6
6,6
5,6
6,5
6,6
4,5
7,7
5,7
6,4
4,6
6,5
6,6
6,6
6,4
6,7
5,7
5,1
7,6
7,7
6,5
4,5
7,6
7,7
6,5
5,4
3,4
7,7
6,7
3,5
7,5
7,7
5,5
7,7
6,5
7,6
7,7
6,5
6,6
5,6
7,7
7,6
7,7
7,7
7,6
7,7
