"cue","response","fsg","bsg","was_comp","cos","lsa419","lsa300","bgl_item","bgl_comp","t1700","t900","lch","jcn","lesk"
"pan","pot",0.351,0.286,4.15419,0.813,0.536,0.61,0.549587192,0.651862225,0.018726,0.004983,2.48490665,0.086229151,1.081638756
"pan","skillet",0.027,0.48,3.92593,0.844,0.498,0.55,0.154551672,0.206723804,0.003278,0.001051,2.890371758,0.6005978,1.26531339
"pan","stove",0.041,0,1.41099,0.444,0.424,0.51,0.434229445,0.55640339,0.052315,0.005729,0.944461609,0.065217336,0.180858189
"panther","tiger",0.096,0,2.26177,0.447,0.386,0.43,0.118473073,0.323278462,0.011402,0.02398,2.48490665,0.202815378,2.042857143
"pants","shirt",0.185,0.269,3.81551,0.409,0.749,0.78,0.558304516,0.548780679,0.057611,0.034575,2.48490665,0.180327066,1.049882875
"pants","shoes",0.022,0,0.78846,0.087,0.682,0.75,0.484117522,0.54073235,0.009677,0.012469,1.791759469,0.141382904,0.057006675
"pants","skirt",0.038,0.071,2.38877,0.39,0.565,0.58,0.342828271,0.337699743,0.000976,0.004939,1.791759469,0.104884605,1.318952535
"peach","pear",0.072,0.048,2.48491,0.625,0.169,0.21,0.282702193,0.34920941,0.004701,0.00194,2.48490665,0.132544029,1.380735931
"peach","pie",0.041,0,1.41099,0.177,0.194,0.3,0.171707134,0.257269889,0.004963,0.013809,0.587786665,0.040331735,0.009090909
"peach","plum",0.031,0.055,2.15176,0.731,0.171,0.22,0.288113496,0.271283026,0.004814,0.000568,2.48490665,0.148506047,2.339025725
"pear","plum",0.034,0.087,2.49321,0.545,0.165,0.19,0.221376183,0.249550241,0.002632,0.000244,2.48490665,0.159649311,1.419000348
"pelican","pier",0.02,0,0.69315,0.043,0.038,0.11,0.022141304,0.14266557,0.000068,0.00005,0.810930216,0.044628383,0
"pelican","seagull",0.071,0,2.69118,0.736,0.342,0.39,0.098948986,0.103634421,0.001813,0.001701,1.791759469,0.180067395,0.050555556
"pen","pencil",0.594,0.476,4.67283,0.124,0.36,0.42,0.474647604,0.575635245,0.048435,0.045114,2.48490665,0.471260331,1.266540638
"penguin","seal",0.013,0.014,0.99325,0.255,0.117,0.14,0.12737415,0.278045052,0.000219,0.000096,1.185623666,0.075817096,0.055064534
"pickle","prune",0.014,0,0.33647,0.094,0.071,0.09,0.014548643,0.00534,0.000023,0.000025,0.944461609,0.054949271,0.067460317
"pie","pumpkin",0.027,0.35,3.62966,0.084,0.454,0.49,0.296129279,0.257217308,0.01521,0.009805,0.810930216,0.039517575,0.007575758
"pigeon","robin",0.02,0,3.04121,0.416,0.27,0.33,0.16563511,0.098704467,0.000266,0.000067,1.504077397,0.096985519,0.066574546
"pin","stick",0.111,0.061,2.84491,0.065,0.245,0.35,0.309610475,0.431807174,0.000834,0.000043,3.583518938,209681401,3
"pistol","rifle",0.021,0.014,3.22798,0.704,0.391,0.44,0.226594846,0.343440097,0.024746,0.037622,2.48490665,0.282393304,1.152434869
"pistol","whip",0.015,0,0.40547,0.058,0.262,0.31,0.157399013,0.309147952,0.000244,0.000046,1.791759469,0.137102668,0.057772739
"plate","saucer",0.03,0.067,2.27213,0.517,0.114,0.09,0.213916698,0.387915106,0.000018,0.000008,2.48490665,0.320037179,1.04942602
"plate","spoon",0.024,0,1.80274,0.119,0.343,0.39,0.373425023,0.472279221,0.003821,0.000659,2.48490665,0.098015127,1.333333333
"pliers","screwdriver",0.014,0,1.6169,0.495,0.468,0.56,0.03767388,0.052155949,0.001087,0.001221,2.48490665,0.092000558,0.573633157
