gender,college,comp_anx,tech_exp,comp_exp
1,3,2.05882352941176,-.149999999999999,351
2,3,3.64705882352941,-1.38,290
2,3,2.05882352941176,-.35,333
2,3,1.23529411764706,-.5,324
2,3,2.29411764705882,-.850000000000001,343
1,2,1.23529411764706,-.55,319
1,1,1.76470588235294,.7,265
2,1,1.70588235294118,-1.85,381
2,1,2.64705882352941,-.65,232
2,1,1.41176470588235,.100000000000001,381
2,1,1.29411764705882,-.800000000000001,287
2,2,1.82352941176471,-.2,344
2,3,1.23529411764706,-.6,670
1,2,1.76470588235294,0,270
1,1,1.05882352941176,1.35,140
2,2,2.23529411764706,-1.1,267
1,1,1.47058823529412,.3,353
2,3,2.76470588235294,1.8,250
2,3,2.17647058823529,-1.05,338
2,2,1.82352941176471,-.850000000000001,294
2,2,1.35294117647059,-.4,275
1,2,1.41176470588235,-.25,311
2,1,2.11764705882353,-.45,325
2,3,1.35294117647059,-.0499999999999998,251
2,3,3.23529411764706,-1.9,250
1,1,1.17647058823529,.550000000000001,386
2,1,2.76470588235294,-1,296
2,1,2.94117647058824,0,480
2,1,2.23529411764706,-.7,285
2,1,2.23529411764706,-.25,376
2,1,1.58823529411765,-.5,320
2,1,1.58823529411765,1.2,301
2,1,3.23529411764706,-1.45,390
2,1,2.17647058823529,-.2,361
2,1,2.52941176470588,.9,284
1,1,1.23529411764706,.35,361
1,2,1,.2,329
1,2,1.11764705882353,.25,421
1,1,1.17647058823529,-.35,248
2,1,1.11764705882353,-.3,304
2,1,1.23529411764706,-1.75,630
2,3,2,.95,335
1,3,2,.95,386
1,3,1.23529411764706,1.55,280
2,3,3.11764705882353,-1.9,550
2,3,3,-.8,305
2,3,3.17647058823529,-.399999999999999,600
2,3,1.88235294117647,.149999999999999,403
2,3,2.17647058823529,-.15,317
2,3,1.82352941176471,-.649999999999999,170
2,3,2.05882352941176,-.350000000000001,362
1,3,1.88235294117647,.199999999999999,371
1,1,3.88235294117647,.6,213
2,2,2.47058823529412,-.4,239
1,2,1.05882352941176,.45,307
1,2,1.05882352941176,1.05,270
2,2,2.05882352941176,-.449999999999999,297
2,1,4.17647058823529,-2.85,160
2,1,3.11764705882353,-1.7,330
2,1,2.23529411764706,.9,253
2,1,2.35294117647059,.350000000000001,464
2,1,1.41176470588235,1.05,180
2,3,1.64705882352941,.65,393
2,3,3.47058823529412,-1.7,150
1,3,1.23529411764706,1,250
2,1,2.94117647058824,-2.3,220
1,2,1.29411764705882,.85,365
2,2,1.94117647058824,-.25,403
2,1,2.11764705882353,-1.05,560
2,1,1.76470588235294,-.399999999999999,210
2,1,1.29411764705882,.5,255
2,1,3.05882352941176,-.0499999999999998,334
2,2,1.23529411764706,-.55,338
2,1,1.35294117647059,-.0499999999999998,337
2,1,1.52941176470588,-.850000000000001,373
2,1,3.58823529411765,-1.2,376
1,1,3.70588235294118,-1.4,330
2,1,1.82352941176471,.649999999999999,334
1,1,2.29411764705882,2.7,470
2,1,1.70588235294118,.850000000000001,307
