o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,condition
2,4,3,4,4,4,4,3,4,4,2,2,1,2,3,5,2,4,2,2,complimentary
4,4,3,3,3,4,3,3,4,3,3,4,3,3,4,3,4,3,3,3,benevolent
5,5,2,5,2,1,1,5,2,2,4,4,2,4,1,4,1,1,2,4,complimentary
4,3,4,3,5,4,4,3,4,5,2,2,2,2,,,,,,,complimentary
1,1,3,5,4,5,1,1,5,1,5,5,1,5,3,5,1,5,1,5,neutral
5,4,3,5,5,5,4,4,5,5,1,1,1,1,5,1,1,3,1,2,neutral
4,4,3,4,4,3,3,2,4,2,3,2,4,2,3,2,3,3,3,2,hostile
4,5,3,5,5,5,4,2,5,5,3,3,2,3,3,1,1,2,4,2,hostile
4,5,3,4,5,5,3,3,5,5,1,2,2,2,3,1,1,1,1,2,hostile
5,5,4,4,5,5,3,5,5,3,1,2,4,2,2,2,2,2,2,2,complimentary
4,4,1,3,4,3,3,2,4,3,3,1,5,3,3,3,3,3,3,4,hostile
2,4,2,3,4,3,3,2,4,3,4,5,4,4,2,3,4,3,4,2,hostile
2,4,3,3,4,5,4,4,4,3,4,5,4,4,4,4,4,4,4,4,benevolent
5,5,2,4,4,5,4,3,4,2,2,1,4,2,3,1,1,2,3,4,benevolent
5,3,2,4,4,4,5,4,4,3,2,1,2,2,4,1,2,2,4,1,benevolent
4,4,3,4,5,5,4,3,5,4,2,2,2,2,3,2,2,3,2,2,neutral
3,3,2,2,4,4,3,2,4,3,3,2,4,2,3,2,2,3,2,3,hostile
2,4,1,4,5,4,4,3,3,3,4,5,3,4,5,4,3,4,3,3,benevolent
3,5,1,3,5,4,4,3,5,4,2,2,4,2,3,3,3,2,3,2,neutral
5,5,4,5,5,5,3,4,5,4,5,1,1,1,3,3,1,3,5,2,hostile
2,4,3,2,4,5,5,4,4,4,4,4,2,5,3,2,4,3,4,4,complimentary
3,4,3,4,3,2,4,4,4,2,3,2,2,2,3,2,2,3,3,3,neutral
4,4,3,4,4,4,4,5,5,4,2,2,3,4,3,2,1,1,3,2,neutral
5,5,4,4,5,5,3,5,5,5,1,1,1,1,1,2,1,1,1,1,complimentary
3,4,3,3,4,4,4,3,3,4,3,4,3,4,3,4,2,3,4,3,neutral
5,5,3,4,5,5,4,5,5,5,1,1,1,1,3,1,1,2,1,,complimentary
5,5,5,5,5,5,4,5,5,5,1,1,2,2,1,1,1,2,2,2,complimentary
4,4,3,5,5,5,2,4,5,3,2,2,1,4,3,2,3,5,1,2,neutral
5,5,3,4,3,5,4,3,5,5,1,1,2,1,3,1,2,1,2,2,hostile
5,5,2,4,4,4,4,4,5,2,4,1,4,4,4,2,2,,2,2,complimentary
4,5,4,4,5,4,3,4,5,1,2,1,4,1,2,1,1,2,3,2,benevolent
5,4,3,4,5,4,4,3,4,4,2,1,2,2,3,2,2,1,2,2,complimentary
3,4,3,4,4,5,3,5,4,4,3,3,3,4,3,4,4,3,3,3,neutral
5,5,4,3,5,5,4,3,5,5,1,1,2,1,2,1,1,1,3,1,hostile
5,4,3,3,3,4,4,3,3,2,4,3,4,4,2,4,5,4,5,4,benevolent
5,5,3,5,5,5,5,5,5,5,1,1,1,2,3,2,1,3,1,4,hostile
4,4,5,4,3,2,4,3,3,3,3,3,4,4,4,4,3,3,3,5,benevolent
3,3,4,4,4,4,4,4,4,2,4,3,3,3,4,4,4,3,4,3,neutral
 ,3,4,3,4,4,3,3,4,4,2,2,,,,,,,,,complimentary
5,5,3,2,5,5,5,5,5,5,1,1,1,1,4,1,1,2,3,1,benevolent
4,4,3,3,5,5,4,4,5,4,1,2,1,2,3,2,2,2,1,4,hostile
4,4,2,4,4,4,3,2,4,4,2,1,2,2,4,3,1,2,4,2,hostile
4,2,3,4,5,5,3,1,5,2,2,1,4,2,3,1,1,4,3,2,neutral
4,4,4,4,5,4,4,3,4,4,2,1,2,2,2,3,1,1,2,2,benevolent
5,5,3,3,5,4,4,5,4,4,1,1,1,1,3,1,2,2,2,1,complimentary
2,4,4,2,4,4,4,4,4,2,3,4,4,4,4,4,4,4,3,3,complimentary
4,2,5,4,4,4,3,4,4,4,2,1,1,3,1,2,3,3,1,2,benevolent
3,3,3,4,4,5,3,5,4,4,3,3,2,4,3,4,2,3,2,3,benevolent
4,2,3,4,4,4,3,3,4,4,2,2,2,2,3,4,2,2,2,2,benevolent
4,4,3,3,5,5,4,4,5,3,2,2,2,3,3,2,1,3,2,2,hostile
4,4,4,5,4,4,4,3,4,3,3,2,2,4,2,3,3,2,3,2,complimentary
4,3,4,3,4,4,3,4,4,3,2,4,2,3,3,4,2,3,3,2,neutral
4,4,3,3,4,3,3,4,4,4,2,2,3,2,3,2,2,3,1,3,neutral
5,5,3,4,4,4,4,5,5,5,2,1,2,1,3,1,2,1,4,2,benevolent
1,3,2,4,4,5,4,4,4,3,3,3,3,4,3,2,1,4,3,4,neutral
4,1,4,4,5,3,5,3,4,3,3,4,4,3,4,5,3,2,3,4,hostile
4,5,3,4,4,4,4,4,4,5,2,1,4,3,3,2,3,3,4,2,benevolent
1,4,1,5,4,5,5,5,4,4,3,5,1,5,5,5,2,4,2,1,benevolent
3,4,3,4,5,3,4,1,5,4,2,3, ,4,4,2,2,4,2,3,complimentary
4,4,3,4,4,4,4,3,4,2,3,2,2,2,4,3,2,2,3,2,complimentary
4,4,5,2,4,5,3,4,5,2,3,2,5,3,1,2,3,2,5,2,hostile
3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,4,3,3,4,2,neutral
5,5,5,4,5,5,4,5,5,5,2,2,1,1,1,2,1,2,1,1,benevolent
3,5,3,5,5,5,5,5,4,3,4,3,4,2,3,3,1,3,2,2,complimentary
4,4,1,2,4,4,3,4,4,4,4,4,3,2,5,2,1,4,2,3,benevolent
3,4,4,4,4,3,4,3,4,3,3,3,3,2,2,3,3,3,3,3,hostile
3,3,5,2,4,4,3,4,4,3,3,2,4,4,1,4,1,1,4,3,neutral
4,4,3,4,4,,,,,,,,4,5,4,4,4,4,4,4,neutral
4,4,2,4,4,5,4,5,5,4,2,2,2,2,4,1,1,3,1,1,neutral
4,3,3,3,4,3,4,3,4,2,2,1,3,3,3,4,3,3,3,3,complimentary
5,5,1,5,5,5,4,5,5,4,1,1,2,1,5,2,1,3,1, ,benevolent
3,3,3,3,3,2,4,3,4,3,3,2,2,3,3,3,4,4,3,3,benevolent
5,5,1,5,5,5,4,5,5,4,1,1,1,5,5,2,1,3,1,1,hostile
5,5,4,4,5,5,5,3,4,3,2,1,3,1,4,4,1,2,3,4,neutral
3,4,1,4,4,5,3,3,4,4,3,3,3,3,5,3,3,3,3,3,neutral
5,4,2,5,4,5,4,3,4,4,2,1,2,1,5,1,1,3,1,2,benevolent
3,4,4,4,4,5,4,3,4,4,2,4,2,3,3,3,2,3,1,2,benevolent
3,2,3,4,4,4,3,3,5,2,3,2,3,2,3,4,2,3,2,4,hostile
5,5,4,4,4,5,5,5,4,4,2,1,2,1,2,4,2,2,1,1,complimentary
5,5,3,5,5,5,5,5,5,5,1,1,1,1,3,3,1,1,1,1,complimentary
2,4,2,4,4,4,2,2,3,2,3,4,4,5,4,5,4,4,4,4,benevolent
4,4,1,3,3,4,2,1,1,2,4,2,3,5,5,4,2,4,4,3,complimentary
3,5,3,4,5,5,3,4,5,2,2,1,4,2,3,3,1,2,3,2,hostile
3,3,3,3,4,4,3,4,4,3,3,3,4,4,3,5,4,3,3,3,neutral
5,5,2,4,4,5,4,4,4,3,2,1,2,2,4,3,4,1,4,4,neutral
3,4,2,4,4,4,4,4,4,3,3,2,3,3,4,4,2,3,3,2,complimentary
4,4,3,3,5,5,4,4,5,3,1,1,2,1,3,1,1,1,1,2,benevolent
4,4,3,4,4,4,4,4,4,4,2,2,2,2,3,2,2,2,2,2,complimentary
3,4,4,4,4,3,5,3,4,4,3,3,3,4,3,3,4,4,3,4,hostile
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,neutral
